sampling_method,model,summary,HARS,NoSampling,Balance,[14]
RandomOverSampler,lr,std,0.236287761011592,0.254894091989131,0.23553904270928,0.224547298558215
SMOTETomek,xgboost,mean,0.51487033550064,0.480354841781338,0.524194505174488,
SMOTETomek,xgboost,median,0.528386973763537,0.515346676665597,0.531782343959289,
SMOTETomek,xgboost,std,0.23080599285628,0.250263744467734,0.21374650175576,
SMOTETomek,mlp,mean,0.480636007522745,0.440461717960469,0.492666021059183,
SMOTETomek,mlp,median,0.510192147685136,0.459417159267484,0.556209544126777,
SMOTETomek,mlp,std,0.223046962595874,0.245467019286614,0.216091278518777,
SMOTETomek,knn,mean,0.460301228967029,0.343859572838809,0.470269711041788,
SMOTETomek,knn,median,0.501626833328797,0.407754266896012,0.528611172686302,
SMOTETomek,knn,std,0.184845498524635,0.276529258700016,0.18673628142958,
SMOTETomek,dt,mean,0.474430738272836,0.474381136602911,0.472398025770856,
SMOTETomek,dt,median,0.501853823831197,0.491009845455803,0.496735201674151,
SMOTETomek,dt,std,0.2142709664178,0.208614987256515,0.212490923574247,
SMOTETomek,rf,mean,0.470247393589063,0.399425886203362,0.51104835247271,
SMOTETomek,rf,median,0.510678317717476,0.451282002032694,0.54840053802819,
SMOTETomek,rf,std,0.258285927511191,0.294340517270588,0.245258011265783,
SMOTETomek,svmlinear,mean,0.391987764872016,0.235119772386355,0.465897006790272,
SMOTETomek,svmlinear,median,0.473970167631483,0.070582074306037,0.560721113529631,
SMOTETomek,svmlinear,std,0.26038834337107,0.281211587761494,0.229999932498273,
SMOTETomek,svmrbf,mean,0.384837697771419,0.24431184167214,0.495535558532183,
SMOTETomek,svmrbf,median,0.492906218555805,0.0630127173160914,0.561368894300388,
SMOTETomek,svmrbf,std,0.26224093146412,0.281559743352674,0.209877519205018,
SMOTETomek,lr,mean,0.446075963793247,0.35319893005705,0.468121502411222,
SMOTETomek,lr,median,0.527448649945326,0.368490537821425,0.554575572932717,
SMOTETomek,lr,std,0.223484176690453,0.254894091989131,0.233755181628117,
ClusterCentroids,xgboost,mean,0.465629050369666,0.480354841781338,0.411529474523129,
ClusterCentroids,xgboost,median,0.501051555246229,0.515346676665597,0.48480411105195,
ClusterCentroids,xgboost,std,0.247097420036269,0.250263744467734,0.241232995197014,
ClusterCentroids,mlp,mean,0.467340988702101,0.440461717960469,0.433482492732944,
ClusterCentroids,mlp,median,0.509600947793076,0.459417159267484,0.52142846475988,
ClusterCentroids,mlp,std,0.222062077836385,0.245467019286614,0.223826866603925,
ClusterCentroids,knn,mean,0.438496196669418,0.343859572838809,0.413387887396544,
ClusterCentroids,knn,median,0.51215131403074,0.407754266896012,0.474615476331741,
ClusterCentroids,knn,std,0.202006086701627,0.276529258700016,0.210014796813706,
ClusterCentroids,dt,mean,0.427345385011122,0.474381136602911,0.393244674983406,
ClusterCentroids,dt,median,0.487698647752767,0.491009845455803,0.434610859957116,
ClusterCentroids,dt,std,0.230012558666532,0.208614987256515,0.230077403933364,
ClusterCentroids,rf,mean,0.476576084411499,0.399425886203362,0.425003671164566,
ClusterCentroids,rf,median,0.497312190587551,0.451282002032694,0.49435392531157,
