sampling_method,model,summary,HARS,Balance,[14]
ClusterCentroids,lr,std,0.0975336765486869,0.142569358370332,
RandomUnderSampler,xgboost,mean,0.976068532959123,0.900355414845658,
RandomUnderSampler,xgboost,median,0.980191834157555,0.95084386643145,
RandomUnderSampler,xgboost,std,0.0277257455031716,0.0972153574638578,
RandomUnderSampler,mlp,mean,0.968909552643976,0.876576015989184,
RandomUnderSampler,mlp,median,0.984600189915431,0.911569974357791,
RandomUnderSampler,mlp,std,0.036745204588637,0.106986078008874,
RandomUnderSampler,knn,mean,0.966515665347075,0.8954643550565,
RandomUnderSampler,knn,median,0.983264827798716,0.933816568739953,
RandomUnderSampler,knn,std,0.0372440066228103,0.139421568267594,
RandomUnderSampler,dt,mean,0.95892704112714,0.906782898365457,
RandomUnderSampler,dt,median,0.970520906903148,0.918780469725932,
RandomUnderSampler,dt,std,0.0376174656133903,0.0757202648431577,
RandomUnderSampler,rf,mean,0.978778581214538,0.939158971963172,
RandomUnderSampler,rf,median,0.991995490417136,0.984343709989504,
RandomUnderSampler,rf,std,0.0246187856494279,0.0941563183411875,
RandomUnderSampler,svmlinear,mean,0.92263796130132,0.89063681523985,
RandomUnderSampler,svmlinear,median,0.948417954694225,0.9287099612689,
RandomUnderSampler,svmlinear,std,0.0985553852396732,0.138072448362084,
RandomUnderSampler,svmrbf,mean,0.944926663994222,0.900524892217004,
RandomUnderSampler,svmrbf,median,0.98914198936978,0.936942339004817,
RandomUnderSampler,svmrbf,std,0.0845635226512104,0.121123669640658,
RandomUnderSampler,lr,mean,0.913574579900839,0.885517280938882,
RandomUnderSampler,lr,median,0.933729636794978,0.934233951311638,
RandomUnderSampler,lr,std,0.0975336765486869,0.140368696873803,
SMOTEENN,all_models,mean,0.953792322311029,0.951649333024147,
SMOTEENN,all_models,median,0.978373473996364,0.971350790908031,
SMOTEENN,all_models,std,0.0647972559762325,0.0624918172787485,
SMOTE,all_models,mean,0.953792322311029,0.957221156059909,0.958786323610388
SMOTE,all_models,median,0.978373473996364,0.981268440573285,0.981323372295992
SMOTE,all_models,std,0.0647972559762325,0.0587504701945597,0.0582048546705408
ADASYN,all_models,mean,0.954540311500404,0.955714772440288,0.958811534475296
ADASYN,all_models,median,0.980483548716689,0.977860532701941,0.98207925404099
ADASYN,all_models,std,0.0651687998637179,0.061201228635007,0.0585001215445523
RandomOverSampler,all_models,mean,0.953792322311029,0.956210384373745,0.95750643410247
RandomOverSampler,all_models,median,0.978373473996364,0.980576170396555,0.981403330797482
